"Location","Population","% ofworld","Date","Source (official or fromthe United Nations)"
"World",8.232e+09,1,2025-06-13,"UN projection[1][3]"
"India",1417492000,0.172,2025-07-01,"Official projection[4]"
"China",1404890000,0.171,2025-12-31,"Official estimate[5]"
"United States",341784857,0.042,2025-07-01,"Official estimate[6]"
"Indonesia",288315089,0.035,2025-12-31,"National annual projection[7]"
"Pakistan",241499431,0.029,2023-03-01,"2023 census result[8]"
"Nigeria",223800000,0.027,2023-07-01,"Official projection[9]"
"Brazil",213421037,0.026,2025-07-01,"Official estimate[10]"
"Bangladesh",169828911,0.021,2022-06-14,"2022 census result[11]"
"Russia",146028325,0.018,2025-01-01,"Official estimate[13]"
"Mexico",131001723,0.016,2025-12-31,"National quarterly estimate[14]"
"Japan",122860000,0.015,2026-02-01,"Monthly national estimate[15]"
"Philippines",114123600,0.014,2025-07-01,"Official projection[16]"
"DR Congo",112832000,0.014,2025-07-01,"UN projection[17]"
"Ethiopia",111652998,0.014,2025-07-01,"National annual projection[18]"
"Egypt",107868296,0.013,2025-07-01,"Official estimate[19]"
"Vietnam",102300000,0.012,2025-12-31,"Official estimate[20]"
"Iran",86563000,0.011,2025-03-20,"Official projection[21]"
"Turkey",86092168,0.01,2025-12-31,"Official estimate[22]"
"Germany",83497147,0.01,2025-09-30,"National quarterly estimate[23]"
"United Kingdom",69487000,0.008,2025-06-30,"Official estimate[24]"
"France",69081996,0.008,2026-01-01,"Yearly national estimate[25]"
"Tanzania",68153004,0.008,2025-07-01,"Official projection[26]"
"Thailand",65826149,0.008,2025-11-30,"Monthly national estimate[27]"
"South Africa",63100945,0.008,2025-06-30,"Official estimate[28]"
"Italy",58956726,0.007,2025-11-30,"Monthly national estimate[29]"
"Kenya",53330978,0.006,2025-07-01,"Official projection[30]"
"Colombia",53057212,0.006,2025-01-01,"Official projection[31]"
"Sudan",51662000,0.006,2025-07-01,"UN projection[32]"
"Myanmar",51375327,0.006,2024-10-15,"2024 census result[33]"
"South Korea",51111158,0.006,2026-01-31,"Monthly national estimate[35]"
"Spain",49570725,0.006,2026-01-01,"National quarterly estimate[36]"
"Algeria",47400000,0.006,2025-01-01,"National annual projection[37]"
"Argentina",46387098,0.006,2025-07-01,"National annual projection[38]"
"Iraq",46118793,0.006,2024-11-21,"2024 census result[39]"
"Uganda",45905417,0.006,2024-05-10,"2024 census result[40]"
"Afghanistan",43844000,0.005,2025-07-01,"UN projection[41][42] (see note)"
"Canada",41575585,0.005,2025-10-01,"National quarterly estimate[49]"
"Uzbekistan",38236704,0.005,2026-01-01,"Official estimate[50]"
"Poland",37332000,0.005,2025-12-31,"Monthly national estimate[51]"
